worker_id,production_id,gender,age_group,experience_years,migration_background,caring_responsibilities,role,seniority,contract_type,production_type,is_debut,funding_type,employer_size_proxy,country,n_employers_per_year,working_days,daily_rate,total_pay,fte_equivalent_pay,includes_variable_pay,pay_definition_harmonized
W0001,P065,male,46-55,16.0,national,False,sound_technician,lead,fixed_term,advertising,False,private,micro,DE,2.0,4,418.09,1672.36,91979.8,False,False
W0001,P005,male,46-55,16.0,national,False,sound_technician,senior,fixed_term,advertising,False,private,small,ES,4.0,18,,7480.62,91429.8,False,False
W0002,P002,male,26-35,8.0,national,False,sound_technician,senior,freelance_cache,advertising,False,private,micro,IT,1.0,13,,,77882.2,False,False
W0003,P047,male,46-55,23.0,national,False,art_technician,mid,intermittent,tv_series,False,private,medium,DE,4.0,23,274.58,6315.34,60407.6,False,True
W0003,P026,male,46-55,,national,False,art_technician,mid,permanent,advertising,False,public,medium,FR,4.0,17,257.29,4373.93,56603.8,False,True
W0003,P054,male,46-55,23.0,national,False,art_technician,mid,freelance_cache,documentary,False,private,micro,PL,6.0,49,297.53,14578.97,65456.6,False,False
W0003,P002,male,46-55,23.0,national,False,art_technician,senior,fixed_term,advertising,False,private,micro,IT,6.0,17,317.97,,69953.4,False,False
W0004,P022,male,36-45,13.0,national,False,director,mid,fixed_term,feature_film,False,private,large,NL,1.0,41,578.91,23735.31,,False,True
W0005,P054,male,46-55,,national,True,art_technician,lead,freelance_cache,documentary,False,private,micro,PL,5.0,50,,20574.5,90527.8,False,True
W0005,P002,male,46-55,27.0,national,True,art_technician,junior,freelance_cache,advertising,False,private,micro,IT,,9,234.58,2111.22,,True,True
W0005,P009,male,46-55,27.0,national,True,art_technician,senior,intermittent,advertising,False,private,large,FR,6.0,18,,6001.02,73345.8,False,True
W0005,P034,male,46-55,27.0,national,True,art_technician,lead,fixed_term,advertising,False,public,micro,FR,4.0,6,,2380.26,87276.2,False,True
W0006,P039,male,46-55,,non_EU,False,cinematographer,senior,permanent,feature_film,False,private,small,PT,5.0,75,673.34,50500.5,148134.8,True,True
W0006,P028,male,46-55,18.0,non_EU,False,cinematographer,senior,fixed_term,documentary,True,mixed,micro,DE,7.0,53,652.36,34575.08,143519.2,False,True
W0006,P010,male,46-55,,non_EU,False,cinematographer,senior,intermittent,documentary,False,private,micro,FR,5.0,57,697.59,39762.63,153469.8,False,False
W0006,P038,male,46-55,18.0,non_EU,False,cinematographer,mid,freelance_cache,short_film,False,mixed,micro,PT,7.0,15,598.51,,131672.2,False,False
W0006,P041,male,46-55,18.0,non_EU,False,cinematographer,junior,fixed_term,tv_series,False,public,micro,PL,4.0,28,447.65,12534.2,,False,False
W0007,P003,male,26-35,6.0,national,False,cinematographer,mid,freelance_cache,documentary,False,public,small,BE,3.0,22,,11815.32,118153.2,False,True
W0007,P046,male,26-35,6.0,national,False,producer,senior,freelance_cache,feature_film,False,private,small,NL,4.0,85,706.86,,155509.2,True,True
W0007,P047,male,26-35,6.0,national,False,producer,senior,intermittent,tv_series,False,private,medium,DE,5.0,35,,33611.2,211270.4,False,True
